epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1532.73,0.59564,0.4508,0.99496,0.95611,0.94681,0.96157,0.77157,0.64321,0.50943,1.026,0.00149867,0.00149867,0.00149867
104,1546.34,0.59631,0.45728,1.01192,0.95115,0.93712,0.95807,0.78038,0.61538,0.46814,1.01136,0.00149702,0.00149702,0.00149702
105,1560.47,0.58591,0.44714,0.99194,0.95936,0.93449,0.95854,0.77921,0.60873,0.46341,0.98329,0.00149537,0.00149537,0.00149537
106,1575.45,0.5964,0.44191,1.0131,0.97432,0.91925,0.96101,0.78506,0.62336,0.45494,1.00812,0.00149372,0.00149372,0.00149372
107,1589.3,0.59798,0.44033,1.00873,0.96405,0.92587,0.96036,0.7868,0.61193,0.46641,1.00475,0.00149207,0.00149207,0.00149207
108,1603.02,0.58438,0.43818,0.9929,0.96437,0.92794,0.95853,0.79242,0.61102,0.44965,1.02083,0.00149041,0.00149041,0.00149041
109,1622.98,0.60103,0.43127,1.00835,0.96241,0.93472,0.95821,0.79041,0.62012,0.48248,1.02542,0.00148876,0.00148876,0.00148876
110,1638.89,0.61797,0.44918,1.01069,0.95786,0.92554,0.96282,0.77339,0.6385,0.46914,1.00798,0.00148711,0.00148711,0.00148711
111,1649.57,0.58477,0.43029,1.00349,0.9539,0.93509,0.96893,0.80172,0.61493,0.4435,0.98308,0.00148546,0.00148546,0.00148546
112,1662.27,0.58902,0.44709,1.00804,0.9156,0.92794,0.95809,0.7721,0.62017,0.51229,0.98714,0.00148381,0.00148381,0.00148381
113,1673.38,0.57563,0.42576,0.99157,0.96585,0.94379,0.96291,0.79289,0.60143,0.4583,0.98883,0.00148216,0.00148216,0.00148216
114,1687.15,0.58195,0.43676,0.9939,0.94157,0.93423,0.95232,0.77971,0.61625,0.48341,0.99691,0.00148051,0.00148051,0.00148051
115,1700.45,0.56417,0.4323,0.98257,0.93752,0.93887,0.95265,0.78322,0.61382,0.53334,0.99721,0.00147886,0.00147886,0.00147886
116,1712.95,0.59157,0.44472,0.99636,0.96096,0.93737,0.96708,0.79067,0.6151,0.45918,0.9834,0.00147721,0.00147721,0.00147721
117,1724.59,0.57852,0.43987,1.00247,0.96688,0.92931,0.96517,0.78795,0.61205,0.43239,0.9865,0.00147556,0.00147556,0.00147556
118,1738.41,0.58629,0.44118,0.99509,0.95452,0.92818,0.96171,0.78854,0.62221,0.45945,1.04458,0.00147391,0.00147391,0.00147391
119,1751.38,0.5849,0.43581,0.99059,0.92654,0.93951,0.9619,0.77291,0.62285,0.54065,0.99909,0.00147226,0.00147226,0.00147226
120,1762.73,0.57686,0.43577,0.9849,0.95179,0.9278,0.96126,0.78947,0.61292,0.46799,0.97928,0.00147061,0.00147061,0.00147061
121,1775.24,0.57185,0.42788,0.99425,0.9747,0.92082,0.96648,0.79065,0.61781,0.45414,1.00356,0.00146896,0.00146896,0.00146896
122,1787.79,0.59945,0.43735,0.99665,0.95533,0.9282,0.96605,0.77793,0.61416,0.45116,0.98431,0.00146731,0.00146731,0.00146731
123,1800.19,0.56503,0.41675,0.98026,0.95738,0.92807,0.96418,0.80081,0.59074,0.46795,0.96794,0.00146566,0.00146566,0.00146566
124,1812.9,0.57716,0.42698,0.99076,0.94216,0.92479,0.96563,0.79314,0.5898,0.46397,0.97343,0.00146401,0.00146401,0.00146401
125,1824.95,0.58406,0.42735,1.00398,0.95308,0.94366,0.96639,0.78937,0.59184,0.44222,0.97855,0.00146236,0.00146236,0.00146236
126,1837.95,0.57273,0.4166,0.98119,0.96772,0.93788,0.96885,0.778,0.61959,0.48197,0.98476,0.00146071,0.00146071,0.00146071
127,1850.96,0.58468,0.43039,0.99261,0.97163,0.94353,0.96665,0.79101,0.58415,0.42524,0.96793,0.00145906,0.00145906,0.00145906
128,1864.12,0.57003,0.41848,0.98717,0.97983,0.93096,0.97639,0.80981,0.58339,0.421,0.98256,0.00145741,0.00145741,0.00145741
129,1880.51,0.56602,0.41287,0.97898,0.95348,0.92466,0.96753,0.7985,0.59704,0.46313,0.99312,0.00145576,0.00145576,0.00145576
130,1895.22,0.56618,0.41823,0.99334,0.9699,0.93724,0.97197,0.8016,0.58178,0.43155,0.9791,0.00145411,0.00145411,0.00145411
131,1910.18,0.55511,0.41334,0.98154,0.97257,0.94824,0.97552,0.8132,0.55936,0.4107,0.96234,0.00145246,0.00145246,0.00145246
132,1927.89,0.53586,0.39473,0.96996,0.96897,0.95175,0.97549,0.8062,0.57413,0.42138,0.97737,0.00145081,0.00145081,0.00145081
133,1941.2,0.56401,0.41593,0.98739,0.97073,0.94313,0.96915,0.80852,0.56727,0.41333,0.9621,0.00144916,0.00144916,0.00144916
134,1954.35,0.54496,0.40839,0.96399,0.96086,0.93423,0.9632,0.80873,0.57814,0.42408,0.98047,0.00144751,0.00144751,0.00144751
135,1967.14,0.55501,0.4172,0.97666,0.96847,0.92794,0.96656,0.8185,0.57002,0.4396,0.96623,0.00144586,0.00144586,0.00144586
136,1983.16,0.56272,0.41483,0.97966,0.94447,0.94512,0.9709,0.80937,0.59063,0.42613,0.98155,0.00144421,0.00144421,0.00144421
137,1993.94,0.56218,0.40973,0.97774,0.94876,0.95166,0.97037,0.81281,0.591,0.41264,0.99953,0.00144256,0.00144256,0.00144256
138,2004.38,0.54915,0.40886,0.98334,0.96781,0.93496,0.96972,0.80868,0.58845,0.42737,0.97467,0.0014409,0.0014409,0.0014409
139,2015.07,0.57294,0.41682,0.98722,0.95959,0.94641,0.96911,0.80045,0.57971,0.43262,0.96666,0.00143925,0.00143925,0.00143925
140,2026.47,0.55958,0.41626,0.97534,0.95103,0.92779,0.9663,0.80831,0.57348,0.43269,0.96928,0.0014376,0.0014376,0.0014376
141,2037.21,0.56736,0.41213,0.98195,0.96993,0.95008,0.97462,0.80114,0.60064,0.41138,0.97816,0.00143595,0.00143595,0.00143595
142,2051.37,0.56007,0.42377,0.98616,0.96701,0.9375,0.9752,0.81626,0.58234,0.41353,0.98306,0.0014343,0.0014343,0.0014343
143,2065.05,0.56545,0.41247,0.98823,0.95455,0.95781,0.97195,0.81348,0.57604,0.42083,0.96762,0.00143265,0.00143265,0.00143265
144,2079.73,0.53443,0.39767,0.96354,0.96668,0.95782,0.97523,0.81482,0.59353,0.40952,0.99611,0.001431,0.001431,0.001431
145,2092.81,0.54185,0.39532,0.96213,0.97574,0.95482,0.97532,0.81136,0.59009,0.40424,0.97139,0.00142935,0.00142935,0.00142935
146,2103.67,0.57063,0.41747,0.9997,0.96409,0.95296,0.97012,0.80981,0.58099,0.40077,0.98382,0.0014277,0.0014277,0.0014277
147,2118.66,0.54423,0.39654,0.97188,0.94584,0.94805,0.96982,0.8168,0.56718,0.41214,0.97545,0.00142605,0.00142605,0.00142605
148,2131.87,0.52851,0.39343,0.95911,0.97046,0.94417,0.9685,0.80912,0.57748,0.4129,0.97432,0.0014244,0.0014244,0.0014244
149,2144.29,0.54915,0.4013,0.97819,0.97694,0.94232,0.97038,0.80501,0.58251,0.40831,0.95751,0.00142275,0.00142275,0.00142275
150,2157.5,0.53508,0.38648,0.96896,0.95861,0.94163,0.97231,0.80602,0.57002,0.41819,0.95624,0.0014211,0.0014211,0.0014211
151,2168.95,0.54096,0.4046,0.96916,0.9547,0.96424,0.97519,0.81296,0.56735,0.38634,0.94305,0.00141945,0.00141945,0.00141945
152,2180.76,0.54176,0.39724,0.97251,0.95945,0.94366,0.97562,0.79954,0.59558,0.44625,0.97354,0.0014178,0.0014178,0.0014178
153,2192.2,0.53304,0.40749,0.97876,0.96574,0.95137,0.9768,0.81339,0.57711,0.39641,0.96377,0.00141615,0.00141615,0.00141615
154,2204.89,0.54216,0.41528,0.96939,0.95623,0.93772,0.96846,0.80886,0.5788,0.42853,0.96358,0.0014145,0.0014145,0.0014145
155,2218.57,0.54569,0.40177,0.97286,0.96306,0.95637,0.97113,0.81834,0.57214,0.41118,0.96487,0.00141285,0.00141285,0.00141285
156,2236.28,0.53283,0.3912,0.9582,0.95939,0.94335,0.97386,0.81637,0.56213,0.4395,0.96972,0.0014112,0.0014112,0.0014112
157,2250.65,0.53606,0.39026,0.97326,0.97427,0.95264,0.97396,0.81694,0.54603,0.39211,0.95457,0.00140955,0.00140955,0.00140955
158,2263.59,0.54051,0.39581,0.9626,0.95823,0.95832,0.97227,0.81524,0.56928,0.39866,0.96932,0.0014079,0.0014079,0.0014079
159,2276.62,0.52827,0.37939,0.96323,0.95607,0.94982,0.97161,0.81594,0.57045,0.42398,0.98252,0.00140625,0.00140625,0.00140625
160,2291.2,0.54107,0.38532,0.96516,0.96281,0.94468,0.97325,0.79904,0.57626,0.41424,0.95858,0.0014046,0.0014046,0.0014046
161,2304.56,0.53854,0.40414,0.97061,0.95753,0.95938,0.97644,0.80338,0.59363,0.4362,0.97835,0.00140295,0.00140295,0.00140295
162,2317.21,0.53451,0.38529,0.97248,0.95523,0.92955,0.97017,0.81065,0.55898,0.42673,0.94886,0.0014013,0.0014013,0.0014013
163,2328.6,0.52084,0.39143,0.96001,0.97971,0.94939,0.97569,0.82809,0.53732,0.38235,0.93724,0.00139965,0.00139965,0.00139965
164,2347.32,0.52243,0.38079,0.95326,0.96565,0.95008,0.97092,0.81541,0.55336,0.39115,0.96398,0.001398,0.001398,0.001398
165,2361.59,0.53327,0.38166,0.95985,0.9606,0.9511,0.97426,0.80017,0.56909,0.43197,0.94466,0.00139635,0.00139635,0.00139635
166,2375.41,0.53026,0.3876,0.94881,0.95007,0.94631,0.96495,0.81829,0.53749,0.40734,0.95045,0.0013947,0.0013947,0.0013947
167,2389.65,0.52652,0.38873,0.95591,0.9532,0.95423,0.96761,0.80951,0.55727,0.40597,0.95374,0.00139305,0.00139305,0.00139305
168,2404.04,0.5264,0.39079,0.96114,0.96437,0.95925,0.97655,0.8244,0.55276,0.39003,0.94678,0.00139139,0.00139139,0.00139139
169,2417.46,0.51773,0.37878,0.94154,0.95791,0.9432,0.97255,0.81694,0.56104,0.39775,0.95142,0.00138974,0.00138974,0.00138974
170,2432.42,0.5093,0.37425,0.94042,0.96747,0.96869,0.97639,0.8313,0.54335,0.36535,0.94823,0.00138809,0.00138809,0.00138809
171,2451.22,0.4974,0.36038,0.94812,0.96116,0.96055,0.9729,0.8216,0.54542,0.40377,0.92691,0.00138644,0.00138644,0.00138644
172,2465.82,0.50545,0.37898,0.94232,0.96716,0.95887,0.9755,0.82173,0.55113,0.39035,0.93725,0.00138479,0.00138479,0.00138479
173,2478.68,0.50834,0.37795,0.94641,0.95005,0.94379,0.96705,0.81943,0.55072,0.43169,0.9449,0.00138314,0.00138314,0.00138314
174,2489.2,0.51641,0.36792,0.95405,0.9646,0.94879,0.96948,0.82249,0.56231,0.41495,0.95571,0.00138149,0.00138149,0.00138149
175,2499.72,0.5208,0.37869,0.95477,0.96248,0.94366,0.97173,0.83119,0.54771,0.40033,0.94932,0.00137984,0.00137984,0.00137984
176,2510.54,0.51601,0.3745,0.94341,0.9618,0.96554,0.97699,0.81797,0.57112,0.41383,0.95642,0.00137819,0.00137819,0.00137819
177,2521.27,0.50899,0.36432,0.94176,0.96564,0.95874,0.97669,0.82578,0.5458,0.40611,0.94394,0.00137654,0.00137654,0.00137654
178,2531.71,0.50936,0.3783,0.94723,0.9646,0.94995,0.97318,0.81393,0.55778,0.4047,0.95541,0.00137489,0.00137489,0.00137489
179,2543.8,0.49086,0.3595,0.93887,0.97053,0.94681,0.9709,0.82511,0.53177,0.37392,0.95625,0.00137324,0.00137324,0.00137324
180,2554.88,0.50171,0.36963,0.94542,0.96717,0.95008,0.97572,0.82996,0.55474,0.40358,0.9524,0.00137159,0.00137159,0.00137159
181,2566.51,0.49625,0.37042,0.93501,0.9531,0.96959,0.97799,0.83134,0.51915,0.38601,0.91797,0.00136994,0.00136994,0.00136994
