epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,397.09,0.70124,0.55444,1.0542,0.92313,0.89804,0.93407,0.7338,0.6885,0.53619,1.03206,0.00149867,0.00149867,0.00149867
104,400.791,0.70603,0.55677,1.06784,0.93185,0.89933,0.92883,0.74384,0.66318,0.51963,1.02882,0.00149702,0.00149702,0.00149702
105,404.946,0.67219,0.53014,1.03471,0.90632,0.88002,0.92695,0.73691,0.66169,0.54703,1.02702,0.00149537,0.00149537,0.00149537
106,408.53,0.6954,0.53929,1.06706,0.94856,0.89031,0.93148,0.75278,0.66543,0.51971,1.00841,0.00149372,0.00149372,0.00149372
107,412.933,0.68024,0.52917,1.04765,0.94074,0.90137,0.93103,0.75352,0.66783,0.51574,1.02451,0.00149207,0.00149207,0.00149207
108,417.06,0.68372,0.52995,1.03693,0.93549,0.89517,0.93968,0.73837,0.69918,0.53814,1.03008,0.00149041,0.00149041,0.00149041
109,420.933,0.67822,0.52137,1.0361,0.93005,0.89604,0.93936,0.73524,0.67673,0.54497,1.02428,0.00148876,0.00148876,0.00148876
110,424.545,0.68717,0.54228,1.04993,0.9092,0.90406,0.93161,0.75581,0.65007,0.58039,1.01533,0.00148711,0.00148711,0.00148711
111,428.551,0.68335,0.52433,1.05144,0.93434,0.89649,0.93912,0.75654,0.63585,0.51126,1.01099,0.00148546,0.00148546,0.00148546
112,432.875,0.67828,0.53841,1.04975,0.95763,0.91839,0.94982,0.75856,0.64723,0.49536,1.00926,0.00148381,0.00148381,0.00148381
113,437.124,0.66256,0.51947,1.03537,0.93356,0.91221,0.94581,0.76389,0.63691,0.50731,1.02178,0.00148216,0.00148216,0.00148216
114,441.002,0.68532,0.53448,1.04934,0.9505,0.89171,0.94349,0.75169,0.6593,0.51282,0.9937,0.00148051,0.00148051,0.00148051
115,444.622,0.65889,0.51249,1.02834,0.93508,0.91221,0.93636,0.75121,0.65809,0.5324,0.99554,0.00147886,0.00147886,0.00147886
116,448.407,0.65477,0.51304,1.02495,0.9441,0.90574,0.93797,0.76493,0.63466,0.50174,1.00643,0.00147721,0.00147721,0.00147721
117,452.324,0.67481,0.5365,1.0445,0.96119,0.90846,0.94788,0.76098,0.65971,0.4884,1.01477,0.00147556,0.00147556,0.00147556
118,455.972,0.69047,0.55815,1.05534,0.93242,0.90735,0.93457,0.75812,0.67807,0.49639,1.02404,0.00147391,0.00147391,0.00147391
119,459.823,0.68039,0.52998,1.03634,0.93637,0.89126,0.93727,0.74283,0.67993,0.53585,1.01263,0.00147226,0.00147226,0.00147226
120,463.783,0.65819,0.52324,1.02779,0.93166,0.9304,0.94784,0.77211,0.62745,0.5009,0.98007,0.00147061,0.00147061,0.00147061
121,467.731,0.66703,0.51797,1.0446,0.94985,0.91446,0.94536,0.76408,0.64303,0.48631,0.98776,0.00146896,0.00146896,0.00146896
122,471.34,0.66751,0.52133,1.03159,0.93742,0.90252,0.94047,0.76533,0.63525,0.48154,0.97893,0.00146731,0.00146731,0.00146731
123,474.925,0.64808,0.50876,1.01629,0.95905,0.92138,0.95015,0.7453,0.66196,0.48769,0.98554,0.00146566,0.00146566,0.00146566
124,478.943,0.66528,0.51801,1.03901,0.94906,0.89623,0.94606,0.75006,0.65591,0.49864,0.9999,0.00146401,0.00146401,0.00146401
125,482.552,0.64295,0.50731,1.02694,0.94868,0.91837,0.94341,0.7535,0.65572,0.5022,0.99223,0.00146236,0.00146236,0.00146236
126,486.189,0.65152,0.49883,1.01751,0.93911,0.93711,0.9503,0.76053,0.66387,0.49077,1.00718,0.00146071,0.00146071,0.00146071
127,489.708,0.66858,0.50996,1.03311,0.95146,0.89394,0.94514,0.74568,0.66612,0.49964,0.98758,0.00145906,0.00145906,0.00145906
128,493.377,0.64974,0.49797,1.01983,0.94599,0.92165,0.94611,0.75356,0.65888,0.51092,0.98218,0.00145741,0.00145741,0.00145741
129,497.274,0.63293,0.48445,1.02022,0.95257,0.88994,0.94531,0.76947,0.63466,0.48404,0.97992,0.00145576,0.00145576,0.00145576
130,500.83,0.66407,0.51387,1.04402,0.94121,0.91824,0.94879,0.7443,0.68034,0.48736,0.9978,0.00145411,0.00145411,0.00145411
131,504.834,0.64098,0.48739,1.01962,0.94982,0.89007,0.94383,0.76727,0.62914,0.49151,0.98092,0.00145246,0.00145246,0.00145246
132,508.446,0.6326,0.48713,1.00903,0.94193,0.92045,0.94576,0.75017,0.65102,0.48081,0.98425,0.00145081,0.00145081,0.00145081
